Location	He Tank, N Pnl End, X	He Tank, N Pnl End, Y	He Tank, N Strut End, Z	He Tank, S Pnl End, X	W Xe Tank Top, X	W Xe Tank Top, Y	W Xe Tank Top, Z	E Xe Tank Top, X	E Xe Tank Top, Y	E Xe Tank Top, Z	SPT South DAPM (Boom), Y	SPT South Thrstr (outbd) Y	SPT South XFC, Y	SPT North DAPM (Boom), Y	SPT North Thrstr (outbd) Y	SW Refl DAPM, Y	SW Refl DAPM, Z	SE Refl DAPM, X	NE Refl DAPM, Y	NW Refl DAPM, X	NW Refl DAPM, Z	MST Thruster, Z	N CP, Mez Brkt Assy,Top, X	N Comm Pnl, WR28 WG, Y	Twr NE Sub-reflector, X	Twr NE Sub-reflector, Y	Twr NE Sub-reflector, Z	Twr NW Sub-reflector, Y	Twr SE Sub-reflector, X
accel	41:+X	42:+Y	46:+Z	51:+X	71:+X	72:+Y	73:+Z	74:+X	75:+Y	76:+Z	82:+Y	85:+Y	88:+Y	92:+Y	95:+Y	152:+Y	153:+Z	154:+X	158:+Y	160:+X	162:+Z	299:+Z	325:+X	327:+Y	343:+X	344:+Y	345:+Z	347:+Y	348:+X
20	2.37E-004	1.19E-004	2.58E-006	2.37E-004	1.81E-004	8.01E-005	2.40E-005	1.40E-004	1.24E-004	2.47E-005	3.50E-006	9.81E-006	1.40E-005	5.66E-006	5.90E-006	2.46E-004	2.09E-005	3.25E-001	2.36E-004	2.09E-004	1.77E-004	8.65E-007	1.20E-004	1.72E-004	9.35E-004	2.06E-003	1.88E-004	2.30E-003	3.99E-004
24	7.79E-004	1.78E-004	1.09E-005	7.86E-004	6.15E-004	1.23E-004	6.53E-005	5.52E-004	1.75E-004	7.13E-005	8.33E-006	4.84E-005	5.72E-005	8.52E-006	4.82E-005	3.71E-004	1.47E-004	1.97E-001	3.42E-004	7.51E-004	9.95E-004	7.00E-006	4.82E-004	2.39E-004	5.48E-003	3.30E-003	1.29E-003	3.30E-003	3.19E-003
28	3.75E-004	1.36E-004	1.85E-005	3.76E-004	3.45E-004	8.52E-005	3.07E-005	3.44E-004	8.38E-005	3.31E-005	2.94E-005	2.80E-004	2.90E-004	1.03E-005	2.99E-004	1.35E-004	2.09E-004	1.67E-001	1.52E-004	8.06E-004	1.48E-003	3.66E-005	3.51E-004	1.42E-004	5.62E-003	2.32E-003	1.03E-003	1.18E-003	4.93E-003
32	6.41E-005	4.57E-004	7.45E-005	6.77E-005	4.91E-004	1.13E-004	2.87E-005	4.43E-004	1.86E-004	3.18E-005	2.32E-004	7.13E-004	6.88E-004	1.77E-004	9.85E-004	6.40E-004	4.67E-004	1.22E-001	7.13E-004	1.15E-003	1.48E-003	8.12E-005	6.30E-004	1.01E-003	1.41E-002	2.55E-003	5.58E-004	1.58E-003	1.28E-002
36	5.93E-004	7.75E-004	1.15E-004	7.32E-004	1.04E-003	2.83E-004	6.57E-005	9.29E-004	6.89E-004	4.88E-005	1.27E-003	8.40E-003	7.50E-003	1.28E-003	3.10E-003	1.62E-003	1.16E-003	9.13E-002	2.36E-003	2.34E-003	3.03E-003	5.59E-004	2.83E-003	4.27E-003	2.23E-002	4.49E-003	2.39E-003	2.63E-003	2.07E-002
40	2.62E-003	1.79E-003	9.23E-005	2.82E-003	7.52E-004	1.17E-003	5.63E-005	1.23E-003	9.23E-004	1.64E-004	3.50E-003	1.95E-002	1.71E-002	2.56E-003	5.03E-003	2.63E-003	7.27E-003	1.01E-001	8.80E-003	3.82E-003	1.45E-002	1.12E-002	4.34E-003	3.70E-003	5.71E-002	9.45E-003	9.67E-003	1.37E-002	2.08E-002
44	1.69E-003	1.62E-003	1.18E-004	1.77E-003	5.41E-004	1.08E-003	7.94E-005	9.17E-004	4.44E-004	2.17E-004	4.09E-003	1.10E-002	9.04E-003	2.61E-003	5.00E-003	3.38E-003	9.92E-003	8.30E-002	6.98E-003	3.73E-003	1.86E-002	2.36E-002	1.99E-003	1.08E-002	5.17E-002	8.82E-003	7.15E-003	1.48E-002	1.43E-002
48	4.69E-004	2.30E-004	6.61E-005	5.18E-004	5.35E-004	2.71E-004	9.01E-005	3.30E-004	3.09E-004	7.74E-005	8.35E-003	1.86E-002	1.35E-002	7.38E-003	8.78E-003	1.44E-003	3.72E-003	8.14E-002	1.20E-003	2.41E-003	6.19E-003	6.26E-003	1.10E-003	1.81E-002	4.71E-003	1.54E-003	3.34E-003	1.73E-003	4.05E-003
52	1.18E-003	1.86E-004	1.14E-004	1.36E-003	1.91E-003	2.07E-004	2.34E-004	1.19E-003	2.29E-004	1.29E-004	1.84E-002	4.06E-002	2.82E-002	1.21E-002	4.63E-002	2.59E-003	1.31E-003	7.55E-002	1.74E-003	2.12E-003	2.18E-003	2.44E-003	1.42E-003	2.40E-002	1.78E-003	7.86E-004	5.66E-003	8.28E-004	1.49E-003
